doc_id,tier,category,title,issuer,url,referer,expected_type,filename,license,redistribute,effective_from,effective_to,review_expiry,doc_type,product,generation,must_contain,must_not_contain,sessions,purpose,traits,synthetic_degraded,hash_strip,sha256,bytes,notes
law_silson_std_pdf,bundled,법령,"보험업감독업무시행세칙 별표15 실손의료보험 표준약관(현행 정본, 5세대 구조)",법제처,https://www.law.go.kr/LSW/flDownload.do?flSeq=168885301,,pdf,law_silson_std.pdf,공공누리 1유형,yes,2026-05-06,,,표준약관,실손의료보험,5세대,실손의료보험|공제금액|통원,,"1,2,3,4,5,6",인덱싱-정본,장문|별표참조|표수치,false,,477680ce119225fa12717773ac5a378fe0237b40a56428e6209f00c62fd398c3,3557818,개정 이력에 2024.12.20·2025.3.31·2025.6.30·2026.5.6 포함. 기본형 급여 + 특별약관1(중증비급여) + 특별약관2(비중증비급여) 구조. 급여 통원 공제에 '건강보험본인부담률' 항목 있음. 4세대(2024.12.20) 연혁본은 sonsa_silson_std_2024. 출처 표기 필수: 법제처. Q12·Q13 근거
law_silson_std_hwp,bundled,법령,같은 별표15(현행) HWP 원본,법제처,https://www.law.go.kr/LSW/flDownload.do?flSeq=168884315,,hwp,law_silson_std.hwp,공공누리 1유형,yes,2026-05-06,,,표준약관,실손의료보험,5세대,,,"2,3",사람검토큐,미지원형식,false,,39b948f433dceeb1b05505272d1b2d779d4384c4fa62472b86751e2920b20086,1716736,개정 이력에 2024.12.20·2025.3.31·2025.6.30·2026.5.6 포함. 기본형 급여 + 특별약관1(중증비급여) + 특별약관2(비중증비급여) 구조. 급여 통원 공제에 '건강보험본인부담률' 항목 있음. 4세대(2024.12.20) 연혁본은 sonsa_silson_std_2024. 출처 표기 필수: 법제처. Q12·Q13 근거
law_fcpa_xml,bundled,법령,금융소비자 보호에 관한 법률(제19조 설명의무 포함) XML,법제처,https://www.law.go.kr/DRF/lawService.do?OC={OC}&target=law&type=XML&MST=277247,,xml,law_fcpa.xml,공공누리 1유형,yes,,,,법령,금융소비자보호법,,금융소비자,,"1,5,7",인덱싱-법령,조문구조,false,,f9c1beae0485dbd0c5278fbb924033bc28593b7d0fa092afd2a22be2d7de3a33,234457,OC 는 .env 의 LAW_OC(미설정 시 test). 동봉 파일이 있으면 학생은 내려받지 않음
law_insurance_act_xml,bundled,법령,보험업법 XML,법제처,https://www.law.go.kr/DRF/lawService.do?OC={OC}&target=law&type=XML&MST=265389,,xml,law_insurance_act.xml,공공누리 1유형,yes,,,,법령,보험업법,,보험업법,,"1,5",인덱싱-법령,조문구조,false,,38d62fc2290b3777998fdd5192a496b8cfa139bdde6e5ee098890679923fd268,502824,약관 근거 법령 병기용
sf_silson_2605,core,보험,다이렉트 실손의료비보험(2605.1) 약관,삼성화재,https://direct.samsungfire.com/docs/realloss.pdf,,pdf,sf_silson_2605.pdf,삼성화재 저작권,no,2026-05-01,,,약관,실손의료비보험,5세대,,,"2,3,4,5,6",인덱싱,병합PDF|문서경계|공백소실|계산형,false,,db0ed9738c9f59fbb28b678b910e0bdd3ef4bf08bdac52643c2e2dd167003415,2519879,157p 계약전환용 판본. 신세대 자기부담금 산식
db_silson_2101,core,보험,실손의료비보험2101 통합본,DB손해보험,https://www.idbins.com/pcweb/bizxpress/pdc/hc/__etc/실손의료비보험2101.pdf,,pdf,db_silson_2101.pdf,DB손해보험 저작권,no,2021-01-01,,,약관,실손의료비보험,3세대,자기부담금,,"2,3,4,6",인덱싱,이미지페이지|병합셀|텍스트밀도편차,false,,d573c418f53ef29f5d8e2ca89d85fb0741f2472c59d00b2aa56e2a4ecbb369f4,5078236,108p 중 10p 가 이미지. 검증 게이트 임계 캘리브레이션 기준
knia_18259,core,보험,KB 멀티플러스연금보험 약관(공시실),손해보험협회,https://kpub.knia.or.kr/file/download/18259.do,https://kpub.knia.or.kr/,pdf,knia_18259.pdf,ALL RIGHTS RESERVED,no,,,,약관,연금보험,,,,"2,3,4",인덱싱,조항번호형,false,,3bb1d111191fbd739dd38cac627357f95c413767f421e8afca3beb5f65fee228,222148,27p. WAF 때문에 브라우저 UA 필수
knia_7000,core,보험,하이라이프 노후웰스보험 약관(공시실),손해보험협회,https://kpub.knia.or.kr/file/download/7000.do,https://kpub.knia.or.kr/,pdf,knia_7000.pdf,ALL RIGHTS RESERVED,no,,,,약관,연금보험,,,,"2,3,4",인덱싱,별표참조60회|장문,false,,126ac87d483ad6aae303a6f4e7d2f68919490dfccffbdf25104481c438531417,446307,80p. 별표 참조 해소 실습
knia_4000,core,보험,사업비 안내표(공시실),손해보험협회,https://kpub.knia.or.kr/file/download/4000.do,https://kpub.knia.or.kr/,pdf,knia_4000.pdf,ALL RIGHTS RESERVED,no,,,,사업비안내,,,,,"2,4",인덱싱,표붕괴|읽기순서뒤섞임,false,,95bcd46d81df33a224719cf83b1bee0490a2932b0ccd87dd23d89f9e40f97fcb,294638,레이아웃 순서 복원 실패 사례
knia_3500_scan,core,보험,63 동경해상 경영공시(실제 스캔본),손해보험협회,https://kpub.knia.or.kr/file/download/3500.do,https://kpub.knia.or.kr/,pdf,knia_3500_scan.pdf,ALL RIGHTS RESERVED,no,,,,경영공시,,,,,"2,3,8",OCR경로,CCITT스캔|텍스트0,false,,ad3988bd65915f99dde6f7f9862e6ba14c3621d50bacc6d6089b2532a6005ddf,150714,8p 텍스트 레이어 0자. OCR 캐시 대상. 8회차에서 '약관 아님'으로 분류 제외 시연
