doc_id,doc_type,issuer,product,generation,effective_from,effective_to,review_expiry,category,path,format,pages,chars,chars_per_page,best_parser,quality,handling,difficulty,traits_measured,empty_pages,scan_pages,blank_pages,broken_ratio_page_max,density_cv,tables_in_sample,synthetic_degraded,license,sessions,purpose
law_silson_std_pdf,표준약관,법제처,실손의료보험,5세대,2026-05-06,,,법령,data/bundled/law_silson_std.pdf,pdf,492,378165,768.6,pymupdf,국소깨짐,55쪽 재시도 후 사람 확인,4,국소깨짐|빈페이지|공백소실|표중심,1,0,1,0.07626,0.215,3,false,공공누리 1유형,"1,2,3,4,5,6",인덱싱-정본
law_silson_std_hwp,표준약관,법제처,실손의료보험,5세대,2026-05-06,,,법령,data/bundled/law_silson_std.hwp,binary_office,,0,,unsupported,정상텍스트,직접 파싱,1,,,,,,,,false,공공누리 1유형,"2,3",사람검토큐
law_fcpa_xml,법령,법제처,금융소비자보호법,,,,,법령,data/bundled/law_fcpa.xml,xml,,64532,,xml,정상텍스트,직접 파싱,1,,,,,,,,false,공공누리 1유형,"1,5,7",인덱싱-법령
law_insurance_act_xml,법령,법제처,보험업법,,,,,법령,data/bundled/law_insurance_act.xml,xml,,124402,,xml,정상텍스트,직접 파싱,1,,,,,,,,false,공공누리 1유형,"1,5",인덱싱-법령
sf_silson_2605,약관,삼성화재,실손의료비보험,5세대,2026-05-01,,,보험,data/raw/sf_silson_2605.pdf,pdf,157,291692,1857.9,pymupdf,표중심,표 특화 파서,3,도형전용페이지|표중심,3,0,0,0.00463,0.42,5,false,삼성화재 저작권,"2,3,4,5,6",인덱싱
db_silson_2101,약관,DB손해보험,실손의료비보험,3세대,2021-01-01,,,보험,data/raw/db_silson_2101.pdf,pdf,108,154451,1430.1,pymupdf,표중심,표 특화 파서,3,빈페이지|도형전용페이지|표중심,10,0,5,0.02165,0.567,5,false,DB손해보험 저작권,"2,3,4,6",인덱싱
knia_18259,약관,손해보험협회,연금보험,,,,,보험,data/raw/knia_18259.pdf,pdf,27,41533,1538.3,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.00692,0.379,2,false,ALL RIGHTS RESERVED,"2,3,4",인덱싱
knia_7000,약관,손해보험협회,연금보험,,,,,보험,data/raw/knia_7000.pdf,pdf,80,100022,1250.3,pymupdf,도형전용페이지,사람 확인,2,빈페이지|도형전용페이지|밀도편차,19,0,15,0.00434,0.838,1,false,ALL RIGHTS RESERVED,"2,3,4",인덱싱
knia_4000,사업비안내,손해보험협회,,,,,,보험,data/raw/knia_4000.pdf,pdf,1,639,639.0,pymupdf,공백소실,pdfplumber 로 재추출,3,공백소실|표중심,0,0,0,0.0,0.0,3,false,ALL RIGHTS RESERVED,"2,4",인덱싱
knia_3500_scan,경영공시,손해보험협회,,,,,,보험,data/raw/knia_3500_scan.pdf,pdf,8,0,0.0,pymupdf,이미지전용,전체 OCR,5,이미지전용|스캔페이지혼재,8,8,0,0.0,0.0,0,false,ALL RIGHTS RESERVED,"2,3,8",OCR경로
sonsa_silson_std_2024,표준약관,제3자 게시본,실손의료보험,4세대,2024-12-20,,,보험,data/raw/sonsa_silson_std_2024.pdf,pdf,80,55459,693.2,pymupdf,공백소실,pdfplumber 로 재추출,3,공백소실|표중심,0,0,0,0.00537,0.221,3,false,제3자 재게시본,"2,4,5,6",인덱싱-연혁본
abl_cancer_2404,약관,ABL생명,암보험,,2024-04-01,,,보험,data/raw/abl_cancer_2404.pdf,pdf,184,192991,1048.9,pypdf,국소깨짐,6쪽 재시도 후 사람 확인,4,국소깨짐|표중심,0,0,0,0.20408,0.427,5,false,ABL생명 저작권,"2,3,4,5,6",인덱싱
hanacard_std_2017,표준약관,하나카드,신용카드,,2017-04-01,,,카드,data/raw/hanacard_std_2017.pdf,pdf,21,30109,1433.8,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.0,0.142,0,false,하나카드/공정위 표준약관,"2,3,4,6",인덱싱
sc_card_std_2021,표준약관,SC제일은행,신용카드,,2021-09-01,,,카드,data/raw/sc_card_std_2021.pdf,pdf,33,38055,1153.2,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.0,0.13,0,false,SC제일은행/공정위 표준약관,"2,3,4,6",인덱싱
hanacard_diff_2016,개정대비표,하나카드,신용카드,,2016-06-01,,,카드,data/raw/hanacard_diff_2016.pdf,pdf,19,20811,1095.3,pymupdf,표중심,표 특화 파서,3,빈페이지|표중심,1,0,1,0.0,0.291,5,false,하나카드 저작권,"2,4",인덱싱
kb_card_annex_2008,부속약관,KB국민카드,신용카드,,2008-01-01,,,카드,data/raw/kb_card_annex_2008.pdf,pdf,3,3831,1277.0,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.0,0.156,0,false,KB국민카드 저작권,"4,6",네거티브
kbcard_rates_html,공시,KB국민카드,신용카드,,2026-02-03,,,카드,data/raw/kbcard_rates.html,html,,13072,,html_strip,정상텍스트,직접 파싱,1,,,,,,,,false,KB국민카드 저작권,"3,5,6",인덱싱-스냅샷
kbcard_overseas_html,이용안내,KB국민카드,신용카드,,,,,카드,data/raw/kbcard_overseas.html,html,,16563,,html_strip,정상텍스트,직접 파싱,1,,,,,,,,false,KB국민카드 저작권,"3,5",인덱싱-스냅샷
kbcard_delinquency_html,이용안내,KB국민카드,신용카드,,,,,카드,data/raw/kbcard_delinquency.html,html,,9577,,html_strip,정상텍스트,직접 파싱,1,,,,,,,,false,KB국민카드 저작권,"3,5",인덱싱-스냅샷
kbstar_deposit_2021,상품설명서,KB국민은행,정기예금,,2021-03-01,,2023-02-01,예적금,data/raw/kbstar_deposit_2021.pdf,pdf,6,6302,1050.3,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.0,0.323,15,false,KB국민은행 저작권,"2,3,4,5,6",인덱싱
kakao_deposit_2026_pdf,상품설명서,카카오뱅크,정기예금,,2026-07-03,,,예적금,data/raw/kakao_deposit_2026.pdf,pdf,5,5774,1154.8,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.0,0.37,13,false,카카오뱅크 저작권,"3,4,5,6",인덱싱
kakao_deposit_2026_txt,상품설명서,카카오뱅크,정기예금,,2026-07-03,,,예적금,data/raw/kakao_deposit_2026.txt,text,,8444,,plain,정상텍스트,직접 파싱,1,,,,,,,,false,카카오뱅크 저작권,"2,3",파싱우회
kakao_deposit_special_2019,상품설명서,카카오뱅크,정기예금,,2019-07-16,,,예적금,data/raw/kakao_deposit_special_2019.pdf,pdf,4,3754,938.5,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.0,0.181,10,false,카카오뱅크 저작권,"4,5,6",인덱싱
kakao_deposit_terms_2024,특약,카카오뱅크,정기예금,,2024-10-17,,,예적금,data/raw/kakao_deposit_terms_2024.pdf,pdf,2,2413,1206.5,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.0,0.232,1,false,카카오뱅크 저작권,"3,4",인덱싱
shinhan_orakssil_2025,상품설명서,신한은행,적금,,2025-09-29,,2026-11-30,예적금,data/raw/shinhan_orakssil_2025.pdf,pdf,8,7100,887.5,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.0,0.239,10,false,신한은행 저작권,"4,5",인덱싱
nh_jangbyeong_2026,상품설명서,NH농협은행,적금,,2026-03-03,,2028-02-29,예적금,data/raw/nh_jangbyeong_2026.pdf,pdf,10,10412,1041.2,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.00551,0.234,7,false,NH농협은행 저작권,"4,5,6",인덱싱
fss_deposit_terms_2024_pdf,표준약관,금융감독원,예금거래,,2024-09-27,,,예적금,data/raw/fss_deposit_terms_2024.pdf,pdf,10,6672,667.2,pymupdf,공백소실,pdfplumber 로 재추출,3,공백소실,0,0,0,0.0,0.308,0,false,"금감원 저작권(교육 인용 허용, 배포 금지)","2,3,4",인덱싱
fss_deposit_terms_2022_hwpx,표준약관,금융감독원,예금거래,,2022-12-01,,,예적금,data/raw/fss_deposit_terms_2022.hwpx,binary_office,,0,,unsupported,정상텍스트,직접 파싱,1,,,,,,,,false,"금감원 저작권(교육 인용 허용, 배포 금지)","2,3",사람검토큐
fss_credit_terms_2024_pdf,표준약관,금융감독원,여신거래,,2024-09-27,,,대출,data/raw/fss_credit_terms_2024.pdf,pdf,12,10458,871.5,pymupdf,공백소실,pdfplumber 로 재추출,3,공백소실,0,0,0,0.0,0.138,0,false,"금감원 저작권(교육 인용 허용, 배포 금지)","2,3,4",인덱싱
woorisb_rotating_html,상품설명서,우리금융저축은행,정기예금,,,,,예적금,data/raw/woorisb_rotating.html,html,,5356,,html_strip,정상텍스트,직접 파싱,1,,,,,,,,false,우리금융저축은행 저작권,5,인덱싱-스냅샷
hana_credit_terms_2009,약관,하나은행,여신거래,,2009-12-16,,,대출,data/raw/hana_credit_terms_2009.pdf,pdf,6,7842,1307.0,pymupdf,폰트깨짐,파서 라우팅 → pymupdf,4,폰트깨짐,0,0,0,0.02381,0.592,0,false,하나은행 저작권,"2,3,4",인덱싱
hana_credit_terms_2013,약관,하나은행,여신거래,,2013-07-01,2024-10-16,,대출,data/raw/hana_credit_terms_2013.pdf,pdf,6,10714,1785.7,pymupdf,정상텍스트,직접 파싱,1,,0,0,0,0.01235,0.53,0,false,하나은행 저작권,"4,5,6",인덱싱
hana_credit_terms_2024,약관,하나은행,여신거래,,2024-10-17,,,대출,data/raw/hana_credit_terms_2024.pdf,pdf,6,13291,2215.2,pymupdf,국소깨짐,1쪽 재시도 후 사람 확인,4,국소깨짐,0,0,0,0.06329,0.581,0,false,하나은행 저작권,"4,5,6",인덱싱
hana_credit_terms_2024_table,개정대비표,하나은행,여신거래,,2024-10-17,,,대출,data/raw/hana_credit_terms_2024_table.pdf,pdf,12,7810,650.8,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.0,0.476,2,false,하나은행 저작권,"4,6",인덱싱
hana_household_loan_2014,상품설명서,하나은행,가계대출,,2014-04-01,,,대출,data/raw/hana_household_loan_2014.pdf,pdf,3,9970,3323.3,pymupdf,표중심,표 특화 파서,3,표중심,0,0,0,0.00358,0.301,5,false,하나은행 저작권,"2,3,5",인덱싱
